feature,coefficient,abs_coefficient,zeroed_out
cat__first_prod_enq2_others,-0.0,0.0,True
cat__education_OTHERS,0.0,0.0,True
cat__education_GRADUATE,-0.0,0.0,True
num__max_recent_level_of_deliq,0.0,0.0,True
num__num_deliq_12mts,-0.0,0.0,True
num__num_deliq_6_12mts,-0.0,0.0,True
cat__education_12TH,0.0,0.0,True
cat__maritalstatus_Single,0.0,0.0,True
cat__maritalstatus_Married,-0.0,0.0,True
num__num_times_60p_dpd,-0.0,0.0,True
num__gl_flag,-0.0,0.0,True
cat__education_POST-GRADUATE,-0.0,0.0,True
num__pct_cc_enq_l6m_of_l12m,-0.0,0.0,True
num__cc_flag,0.0,0.0,True
num__pct_opened_tls_l6m_of_l12m,-0.0,0.0,True
num__num_dbt,0.0,0.0,True
num__num_dbt_6mts,-0.0,0.0,True
num__pct_of_active_tls_ever,0.0,0.0,True
num__enq_l12m,0.0,0.0,True
num__num_lss_6mts,0.0,0.0,True
cat__first_prod_enq2_PL,-0.0,0.0,True
num__pl_enq_l12m,0.0,0.0,True
num__tot_enq,0.0,0.0,True
num__num_sub,-0.0,0.0,True
cat__education_PROFESSIONAL,0.0,0.0,True
num__time_since_first_deliquency,-0.0,0.0,True
cat__gender_F,-0.0,0.0,True
num__total_tl,0.0,0.0,True
num__tot_closed_tl,0.0,0.0,True
num__tot_active_tl,0.0,0.0,True
cat__first_prod_enq2_HL,-0.0,0.0,True
cat__first_prod_enq2_CC,-0.0,0.0,True
cat__first_prod_enq2_AL,0.0,0.0,True
num__pct_tl_closed_l6m,-0.0,0.0,True
num__pct_active_tl,0.0,0.0,True
num__pct_closed_tl,-0.0,0.0,True
num__total_tl_opened_l12m,0.0,0.0,True
num__tot_tl_closed_l12m,-0.0,0.0,True
cat__last_prod_enq2_others,-0.0,0.0,True
cat__education_SSC,0.0,0.0,True
num__cc_enq_l12m,0.0,0.0,True
num__tot_missed_pmnt,0.0,0.0,True
num__auto_tl,-0.0,0.0,True
num__cc_tl,0.0,0.0,True
cat__last_prod_enq2_ConsumerLoan,-0.0,0.0,True
cat__last_prod_enq2_CC,0.0,0.0,True
num__home_tl,-0.0,0.0,True
cat__last_prod_enq2_AL,0.0,0.0,True
num__secured_tl,0.0,0.0,True
num__unsecured_tl,0.0,0.0,True
cat__gender_M,0.0,0.0,True
cat__last_prod_enq2_HL,0.0,0.0,True
