,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46
num__prospectid,0.0011289697708815195,-0.00029327770365770376,0.0021139241800641286,-0.005706925467185877,0.000743194988980267,0.00026489977995740403,-0.002904165407203806,0.005685632260156213,0.00219303893470727,0.0022956152335668984,-0.00746973163566546,0.007292158943109048,-0.004091557157425704,0.01168524828730284,-0.0026318887792063364,0.015284451670239212,-0.013545308822952264,0.01989370265417665,0.005965091095400566,-0.01286865563802983,0.02248554897945822,-0.261063188869127,0.5297771029968769,0.8024857636898429,0.05810626854347163,0.013296409103579898,0.010969085765478748,-0.007462542706681771,-0.011752587032830546,0.024548171798201235,0.013249663681881615,-0.010391708244722854,-0.008275477341271731,0.0005922871562022386,0.005340223261490328,-0.0006193213604984932,-0.001976664662794971,-0.006568964959182797,-0.00516552771840351,-0.006064638280017622,0.004668352096190332,-0.0020292765057856213,0.01147276389069333,0.000835161488164782,0.007428570138748996,6.540229151062164e-05
num__total_tl,0.18643275617970306,0.1802089603400733,-0.16791634799558441,0.060030152989711094,-0.030100497033488598,-0.06305889309215144,-0.016607491519859643,-0.02639179589902807,0.0645150807347347,-0.13008856095838334,0.034885533334212904,-0.11260660165470557,0.09266758109324903,0.01010441001437104,0.03976843312290239,0.026604684565321474,-0.1353583451438471,0.075798681990015,-0.03049104761343953,0.04579150436399619,0.007671498376548902,-0.001982547296274395,-0.00064652275946641,0.0005321443115587077,0.026112347878169136,0.007691872891363513,-0.09022126159655813,0.08337117142989314,0.036932724392454666,-0.02582601196335299,0.008685223493133068,0.039846133695450904,-0.003448069470931861,0.03326202921583449,0.0599077612640837,0.030681901917009223,-0.019533417765361546,0.058542542343081844,-0.014342752323650135,-0.005041461333124678,-0.05886015264394553,0.008093000567780697,0.0035980973091147006,-0.0050482907871960275,0.023419653831862036,0.048320449068222866
num__tot_closed_tl,0.14224338512851997,0.20219616021132186,-0.1600876787186017,-3.983211762614847e-05,-0.009751582317018446,-0.10758156739294243,-0.03712862882547376,-0.03926198325389396,0.0738617350697135,-0.1366427604628655,0.0120594979300844,-0.1591355203129523,0.0811780282028379,0.02556876898833678,0.06837608916287899,0.07207744863304805,-0.17294734232913533,0.12816140416619326,-0.035099562461114266,0.03271923501100406,0.007787779297161054,0.00833426479018956,0.0007412812633968702,0.0022718779407783773,0.042790339035739026,0.019151600428733956,-0.13407823545634892,0.13455409943511543,0.09008554842934796,-0.06493615036550976,0.010132875438482375,0.008885543172935537,-0.010880144930884197,0.027528686990574064,0.028462033877339837,0.033348009678579635,-0.02197329770854636,0.022780500344025248,-0.009457033343284404,-0.03237461361221132,0.02190087802242688,-0.014306326844781864,-0.051970545062017204,-0.024747267236987145,-0.00802686036481362,0.0320129191086511
num__tot_active_tl,0.21473941759348203,0.03953494987575759,-0.11037766871933208,0.18819896533689462,-0.06898961243610316,0.08181407342706674,0.044389532307745935,0.01927240304129281,0.01032232636282615,-0.052738660043889815,0.07798892972117921,0.060454312522629616,0.07953286283852432,-0.03474389707051386,-0.05297084649761174,-0.10383027344654906,0.02503575529814771,-0.0953436667932876,-0.004382197720014018,0.058505833191679346,0.0038118810865726653,-0.0278569044496228,-0.003950961354347547,-0.0042328911873294114,-0.029311491582359545,-0.025637216756470967,0.06551924887070057,-0.08821884778783591,-0.1182376735682156,0.0877234880928146,0.0008977966953469807,0.10177529627514108,0.01745277401059977,0.03272694768387635,0.11379337710595408,0.00952916250373376,-0.0041382755992655194,0.124271157525538,-0.020380045238050336,0.06828332470047208,-0.2413081864678474,0.0625131175795474,0.1462466131586601,0.048452972222547214,0.09422851673700805,0.06826427411489747
num__total_tl_opened_l6m,0.19574758221393107,-0.05472975664667229,-0.11361587815378899,0.13895567012599136,0.11162338022560735,-0.01562789086324153,0.016202532773482076,0.0180873956764534,0.07175979684195635,-0.0063789740003437345,0.05168405443934329,0.1496579211430367,0.08306015087099466,0.1862035586787426,-0.10998819627079737,0.010888906198423809,0.09903110907642326,-0.09684324438739926,-0.024899010498878986,-0.0792877463872764,-0.05342439430367452,0.011406811764822111,-0.0033395292756294593,-0.0022180355725874568,0.022175525591020054,0.10074005027921708,0.04987017878439629,-0.07338683402862575,-0.02510476418441654,0.049390183019714,0.02339684491337811,-0.05493011387497716,0.018737463163335882,0.00622515429760385,-0.036676965204576334,-0.06922961989617848,0.0666344125855595,-0.22523702250324346,0.03818326234896957,0.23767001850984942,-0.22461650735729788,0.0008111961902258352,0.19504245646419008,0.048261365664225855,-0.05683019219089312,0.13956043933688164
num__tot_tl_closed_l6m,0.16321294965510738,0.04747537880671926,-0.15179631794410986,-0.03953788575973016,0.21895755737168135,0.1535956748525038,0.058819363332982454,0.028149343326044435,0.07593410598400194,0.07043756704234197,-0.01109191477190889,0.06585151051854461,0.0026412860810995434,-0.002663836315144552,0.006860506986099114,-0.10523463141623898,-0.013751800122183619,0.013563510785511684,0.007512949424722731,0.11169650404904151,0.016180181668110076,0.06644812392805949,0.008396955453086056,0.017339153425678558,0.06779399455012904,0.21486038118446155,0.019202817494950834,0.020439529734206215,0.10653974366507435,-0.09464735043976505,-0.0065640320207535074,-0.20826293138883495,0.0054683690089425314,-0.12567005270364445,-0.2912605072197956,-0.17781731252223792,0.1294291013699705,-0.0038959892426490977,-0.005541508647452741,-0.07287704391656755,0.1363037334458773,0.01965687445799728,-0.1254441759244732,-0.03793041695807894,-0.3899681058792359,-0.05412458216155821
num__pct_tl_open_l6m,0.06686862339767097,-0.1630220059379608,0.0006781203382291157,0.19044358871672318,0.1152962337293811,-0.11112017336469115,-0.02224534722098706,-0.004129598104131937,0.07035937700087076,0.03003142892009271,-0.0070751532075470636,0.09044205024047049,-0.014963382478482466,0.29393804834651527,-0.054986203233277575,0.23031277184975352,0.1257800020864785,-0.06102625804537347,0.015445803683169166,-0.24025899884058313,-0.04466489289036897,0.05492905550111382,0.0030370808567163413,0.005144557000046235,0.0657341015192838,0.0079121060086082,-0.11855505359109705,0.1220876506289208,0.1547009194044881,-0.05777292524602619,0.014611716893972851,-0.07528182413396457,-0.026172475513757287,0.022402564367816527,0.06367292267880612,-0.02140040054572759,-0.007011277269354972,0.018396372200136034,-0.011315030437383532,-0.050744605500652046,0.02154119666630542,-0.06387111088363834,0.05227361766221114,-0.003669590290685215,0.03808666602171584,-0.09488780391037842
num__pct_tl_closed_l6m,0.03883197349277957,0.0032295464049089395,-0.06416913294333537,-0.14627340122513627,0.31315422958491546,0.14031860059317444,0.03552944314402956,0.0177264152669028,0.06095492990101597,0.18631311380540755,-0.12817739463506098,-0.01481090241667482,-0.1746809035997428,0.02792900093237574,0.08171292105575897,-0.006432893917703235,0.003213669904541243,0.025957289761401995,0.1006298379711025,0.02646148638050172,0.08646656302656336,0.0842087613199252,0.0041933139369041625,0.016359657296124194,0.12010009618198578,0.22224792325571852,-0.02667156669098167,-0.006382821837736342,-0.009331048253958557,-0.01957126886600513,0.003301946123339214,0.13298290213319325,0.04968634887274709,-0.06851203817976378,0.11519659996514717,-0.029294892576248073,0.08579813262126605,0.5293403326421815,-0.03320985767546755,0.11412231609933973,-0.21369459881337988,0.025754872711615855,-0.03335209021823721,-0.04485600425661344,-0.29201913908654176,0.13364592212657658
num__pct_active_tl,-0.011910226709353829,-0.18865764776543648,0.0948586878326588,0.3290359655943282,-0.13498524448960697,0.008446266880600503,0.01956838452264803,0.007777095915024956,-0.002907474469994939,-0.025371615606390067,0.029152136386049604,0.005929975328172271,0.031839636182251455,-0.09882527451189876,0.058079753173914186,-0.08045797539928948,-0.02648194628791442,0.06990091802775991,-0.005444607420723072,0.11400913200724819,0.03195915785139875,0.045458187121692306,0.006078525301967425,0.013677744332524763,0.02783351612312961,0.15857527274833075,-0.0099842676485603,0.009271308692368703,0.04712250283119565,-0.0585488371241982,-0.01588049309689929,-0.020469193534137037,0.019170312608029955,-0.07035722806172309,-0.048859549371365246,-0.11709873062399123,0.07220892824820532,0.16427260225338344,-0.018120567700551107,-0.04077237688531145,0.005213753808431157,0.009307121113859146,0.022226150470888217,-0.000298290788074463,0.1331006033875366,0.02885928594760153
num__pct_closed_tl,0.011910226709353816,0.18865764776543645,-0.09485868783265872,-0.3290359655943282,0.13498524448960678,-0.008446266880600566,-0.019568384522648113,-0.007777095915025067,0.002907474469994946,0.025371615606389966,-0.029152136386049632,-0.005929975328172299,-0.03183963618225144,0.09882527451189893,-0.058079753173914304,0.08045797539928956,0.026481946287914202,-0.06990091802775988,0.005444607420723013,-0.11400913200724853,-0.03195915785139894,-0.045458187121692195,-0.006078525301967758,-0.013677744332524638,-0.027833516123129762,-0.1585752727483316,0.009984267648560717,-0.009271308692368741,-0.04712250283119548,0.058548837124197714,0.015880493096899317,0.020469193534136686,-0.01917031260803008,0.07035722806172355,0.0488595493713642,0.11709873062399102,-0.07220892824820528,-0.16427260225338372,0.01812056770055101,0.040772376885311934,-0.005213753808430796,-0.009307121113858827,-0.02222615047088977,0.000298290788074064,-0.13310060338753565,-0.02885928594760189
num__total_tl_opened_l12m,0.2142341238143286,-0.02295748793188377,-0.14109289016407522,0.13334303543658158,0.10280525943290475,0.059767118108617984,0.03901557487199013,0.016104696908822942,0.07842497308243876,-0.016137998230207132,0.05461103585722843,0.11334549760194232,0.08712933217053413,0.03862743373861022,-0.06197685252773623,-0.11234073019123703,0.007809098678530607,-0.02941497891018352,-0.012916842686552996,0.035175905494125456,-0.01661443663584934,0.007088759910396217,-0.003753403382956655,0.0022624262184526046,-0.017009766874060896,0.09322963374168788,0.13705435919288106,-0.1368268784595974,-0.05623353286100724,0.05262569493782124,-0.024299063365554485,-0.03667284426153111,0.0145812462836825,-0.03361337691340108,-0.1194650378602844,0.20287837790050037,-0.14938652875513297,-0.17636397108026153,0.06981164467951118,0.2231485556475719,-0.06177929019232716,-0.008287116491435126,0.12584024571120248,0.03743539637115634,0.030825138514327638,0.03636370764771598
num__tot_tl_closed_l12m,0.17505565906540754,0.09035196694647273,-0.1643476379421945,-0.032374132503123924,0.18672394756814858,0.1281977624344956,0.04329127189838468,0.019694379232658904,0.0780739045580191,0.052788872305873646,-0.013406674318199183,0.032874690645568666,0.010499134602772492,-0.03200905989465244,0.01820057759603117,-0.09155341256161134,-0.03147909142012329,0.027386502214428954,-0.005671373146003696,0.10377853459923106,0.006609429312845486,0.05345030779061258,0.0021387048893819795,0.00675830142528458,0.045069110015683894,0.13392176585250992,0.025257467359354118,0.009495745721635834,0.08954850739566181,-0.06597077227824849,-0.024760098717222623,-0.1717488355716531,-0.019603105883233662,-0.06903479028755573,-0.262314373672817,-0.11939606339377645,0.015593892957754527,-0.2659769764288522,0.010004196794994757,-0.1991678890747383,0.2913596651874403,-0.06011923583487616,-0.025636344273671938,0.010537813786981988,0.2646539346066369,-0.13569311141665846
